Timestamp,Price
05.01.2017 19:45 - 05.01.2017 20:00,60.19
05.01.2017 20:00 - 05.01.2017 20:15,69.7
05.01.2017 20:15 - 05.01.2017 20:30,62.57
05.01.2017 20:30 - 05.01.2017 20:45,52.4
05.01.2017 20:45 - 05.01.2017 21:00,41.68
05.01.2017 21:00 - 05.01.2017 21:15,59.97
05.01.2017 21:15 - 05.01.2017 21:30,54
05.01.2017 21:30 - 05.01.2017 21:45,43.01
05.01.2017 21:45 - 05.01.2017 22:00,39
05.01.2017 22:00 - 05.01.2017 22:15,59.54
05.01.2017 22:15 - 05.01.2017 22:30,56
05.01.2017 22:30 - 05.01.2017 22:45,42.07
05.01.2017 22:45 - 05.01.2017 23:00,35.1
05.01.2017 23:00 - 05.01.2017 23:15,55.87
05.01.2017 23:15 - 05.01.2017 23:30,49.12
05.01.2017 23:30 - 05.01.2017 23:45,34.12
05.01.2017 23:45 - 06.01.2017 00:00,24.86
06.01.2017 00:00 - 06.01.2017 00:15,52.76
06.01.2017 00:15 - 06.01.2017 00:30,51
06.01.2017 00:30 - 06.01.2017 00:45,42.28
06.01.2017 00:45 - 06.01.2017 01:00,28.68
06.01.2017 01:00 - 06.01.2017 01:15,52
06.01.2017 01:15 - 06.01.2017 01:30,46.27
06.01.2017 01:30 - 06.01.2017 01:45,37.24
06.01.2017 01:45 - 06.01.2017 02:00,29.22
06.01.2017 02:00 - 06.01.2017 02:15,47.05
06.01.2017 02:15 - 06.01.2017 02:30,39.96
06.01.2017 02:30 - 06.01.2017 02:45,36.96
06.01.2017 02:45 - 06.01.2017 03:00,33.09
06.01.2017 03:00 - 06.01.2017 03:15,42.16
06.01.2017 03:15 - 06.01.2017 03:30,38.21
06.01.2017 03:30 - 06.01.2017 03:45,37.05
06.01.2017 03:45 - 06.01.2017 04:00,36.02
06.01.2017 04:00 - 06.01.2017 04:15,36.1
06.01.2017 04:15 - 06.01.2017 04:30,37.24
06.01.2017 04:30 - 06.01.2017 04:45,38.71
06.01.2017 04:45 - 06.01.2017 05:00,42.76
06.01.2017 05:00 - 06.01.2017 05:15,27.88
06.01.2017 05:15 - 06.01.2017 05:30,36.25
06.01.2017 05:30 - 06.01.2017 05:45,44.47
